Report Number,Occur Date,UCR Literal,Latitude,Longitude,Month,Year,Zipcode
193362172,12/2/2019,AGG ASSAULT,33.74118,-84.44621,12,2019,30310
193360321,12/2/2019,AGG ASSAULT,33.78095,-84.39033,12,2019,30363
193360361,12/2/2019,AGG ASSAULT,33.76512,-84.41008000000001,12,2019,30313
193361657,12/2/2019,AGG ASSAULT,33.79988,-84.47023,12,2019,30318
193362223,12/2/2019,AGG ASSAULT,33.76228,-84.43448000000001,12,2019,30314
193360091,12/1/2019,LARCENY-FROM VEHICLE,33.785470000000004,-84.44593,12,2019,30318
193360486,12/1/2019,LARCENY-FROM VEHICLE,33.74855,-84.46039,12,2019,30311
193360828,12/2/2019,BURGLARY-RESIDENCE,33.80002,-84.38401,12,2019,30309
193360442,12/1/2019,LARCENY-NON VEHICLE,33.77492,-84.38013000000001,12,2019,30308
193360080,12/2/2019,LARCENY-FROM VEHICLE,33.752959999999995,-84.37406999999999,12,2019,30334
193360334,12/2/2019,LARCENY-FROM VEHICLE,33.769090000000006,-84.38208,12,2019,30308
193360406,12/2/2019,LARCENY-FROM VEHICLE,33.71318,-84.46882,12,2019,30311
193360431,12/1/2019,LARCENY-FROM VEHICLE,33.733979999999995,-84.3844,12,2019,30312
193360445,12/1/2019,LARCENY-FROM VEHICLE,33.78978,-84.42557,12,2019,30318
193360482,12/1/2019,LARCENY-FROM VEHICLE,33.72552,-84.40689,12,2019,30310
193360647,12/1/2019,LARCENY-FROM VEHICLE,33.74003,-84.38383,12,2019,30312
193360653,12/2/2019,LARCENY-FROM VEHICLE,33.76314,-84.34532,12,2019,30307
193360686,12/1/2019,LARCENY-FROM VEHICLE,33.77369,-84.38951,12,2019,30308
193360907,12/1/2019,LARCENY-FROM VEHICLE,33.7423,-84.37868,12,2019,30312
193360956,12/1/2019,LARCENY-FROM VEHICLE,33.76059,-84.34348,12,2019,30307
193361211,12/2/2019,LARCENY-FROM VEHICLE,33.774770000000004,-84.4067,12,2019,30313
193361214,12/2/2019,LARCENY-FROM VEHICLE,33.7216,-84.40926,12,2019,30310
193361267,12/2/2019,LARCENY-FROM VEHICLE,33.70527,-84.39989,12,2019,30315
193361316,12/2/2019,LARCENY-FROM VEHICLE,33.78859,-84.42401,12,2019,30318
193361360,12/2/2019,LARCENY-FROM VEHICLE,33.75107,-84.37448,12,2019,30334
193361669,12/2/2019,LARCENY-FROM VEHICLE,33.824,-84.36521,12,2019,30324
193361902,12/2/2019,LARCENY-FROM VEHICLE,33.746759999999995,-84.37856,12,2019,30312
193361979,12/2/2019,LARCENY-FROM VEHICLE,33.76502,-84.38985,12,2019,30308
193362021,12/2/2019,LARCENY-FROM VEHICLE,33.77923,-84.38377,12,2019,30308
193362028,12/2/2019,LARCENY-FROM VEHICLE,33.78158,-84.39416999999999,12,2019,30363
193362086,12/2/2019,LARCENY-FROM VEHICLE,33.77296,-84.36504000000001,12,2019,30308
193362090,12/2/2019,LARCENY-FROM VEHICLE,33.76382,-84.3574,12,2019,30307
193362120,12/2/2019,LARCENY-FROM VEHICLE,33.84064,-84.38193000000001,12,2019,30305
193362123,12/2/2019,LARCENY-FROM VEHICLE,33.80829,-84.36553,12,2019,30324
193362159,12/2/2019,LARCENY-FROM VEHICLE,33.87121,-84.37931,12,2019,30342
193362182,12/2/2019,LARCENY-FROM VEHICLE,33.83838,-84.37941,12,2019,30305
